ID,Player Name,Player Status,Year of Event,Statement Made,Event Description,Platform,Event Type,Media Tone,Post Status,Media Coverage,Sources,URL,,
52,Shawne Merriman,Retired,2026,The NFL is smart. They're gonna make the most money they possibly can...,"With the issues about the TV rights deals, Merriman discussed the need for players to get paid more rather than the NFL make more money at their expense.  ",Outkick's Don't @ Me podcast,Support,Mixed,Available,Medium,Fox News,https://www.foxnews.com/sports/ex-nfl-star-shawne-merriman-advocating-players-get-paid-more-when-tv-rights-deals-explode,,
53,Russell Wilson,Playing,2022,New team. New ball. New season. Let's Ride!,"Wilson promoted the TNF's movement to Prime Video by showing off a ""new ball"" for 2022 with a catch phrase ""Let's Ride"" which has been a meme. ",Twitter/X,Humor,Positive,Active,Medium,Yahoo Sports ,https://sports.yahoo.com/russell-wilson-promotes-amazon-thursday-120024789.html,,
54,Patrick Mahomes,Playing,2025,Why yall let me keep that nappy hair for so long?,"Talked about wanting to get a haircut and debut a new look in the future, sparking criticism from others about seeing the comment as ""anti-black""",Local Kansas City news interview,Controversy,Negative,Available,Medium,Yahoo Sports,https://sports.yahoo.com/article/patrick-mahomes-sparks-controversy-talking-211552277.html,,
55,Harrison Butker,Playing,2024,"Things like abortion, IVF, surrogacy, euthanasia, as well as a growing support for degenerative cultural values in media all stem from the pervasiveness of disorder.",Shared his views on social and political issues like gender roles and the LGBTQ community to college students at Benedictine College; went viral as spread across different platforms,Public appearance,Controversy,Negative,Active,Low,y!entertainment,https://www.cbsnews.com/news/harrison-butker-commencement-speech-abortion-pride-month-biden-diabolic-lies-told-women/,,
56,DeSean Jackson,Playing,2020,I just want to first off extend an apology on behalf of me and what I stand for...I never want to put any race down or any people down,"Apologized for previous anti-Semitic posts made, one in which included a quote of Hitler about Jews ",Instagram,Apology,Negative,Unavailable,Medium,"CNN, Yahoo Sports",https://www.cnn.com/2020/07/07/us/desean-jackson-eagles-antisemitic-post-trnd,,
57,Travis Kelce,Playing,2024,"It's a great honor...no matter who the president is, I know I'm excited because it's the biggest game of my life...",Answers question about his opinion when hearing Trump attending the Super Bowl LIX,Pre-Super Bowl press conference,Controversy,Negative,Available,High,"People, Billboard, Vanity Fair",https://people.com/travis-kelce-says-it-s-a-great-honor-to-have-trump-at-super-bowl-8786317,,
58,Cam Akers,Playing,2026,...he pushed the back of my head. I then turned around and punched him...AD saved me 😂,"During a Rams-Raiders joint practice about 3 years after this tweet, Akers and Crosby were involved in a scuffle. Akers responds to the a video in which Crosby talks about the incident in a playfal manner. ",Twitter/X,Humor,Positive,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/cam-akers-says-aaron-donald-142026159.html,,
59,DeAndre Hopkins,Playing,2026,...🐅,Post ignites speculation of where the free agent may go after Baltimore,Twitter/X,Humor,Mixed,Active,Medium,Yahoo Sports,https://sports.yahoo.com/articles/deandre-hopkins-addresses-wanting-ravens-190932304.html,,
60,DeAndre Hopkins,Playing,2026,How many times after this do you think I was used in the red zone?,Vents frustration of past 2025 season with the Baltimore Ravens with feelings that he wasn't used to his fullest potential,Twitter/X,Controversy,Negative,Deleted,Low,Yardbarker,https://sports.yahoo.com/articles/deandre-hopkins-airs-frustrations-ravens-020617578.html,,
61,Michael Thomas,Playing,2024,Derek Carr for you...I been told yall s*** sad...,"Shows frustration about the Saints performance, putting blame on the quarterback Derek Carr",Twitter/X,Controversy,Negative,Unavailable,Low,4WWL,https://www.usatoday.com/story/sports/nfl/2024/11/03/michael-thomas-derek-carr-twitter-x-saints/76032365007/,,
62,Cole Beasley,Playing,2021,From what Ive been told these are guidelines for preseason and it's nothing final. ,Voices opinion of the NFLPA that designed the then-new COVID-19 rules restricting unvaccinated players from playing ,Twitter/X,Controversy,Negative,Active,Medium,Yahoo Sports,https://sports.yahoo.com/buffalo-bills-cole-beasley-calls-nflpa-a-joke-new-covid19-coronavirus-rules-restricting-unvaccinated-players-193720432.html,,
63,Logan Wilson,Retired,2026,It still wasn't holding in my humble opinion 😂,"Responds to video of when he was called for holding, aiming in the Bengals not winning the Super Bowl LVI ",Twitter/X,Humor,Positive,Active,Low,MSN,https://www.si.com/nfl/bengals/onsi/allbengals-insiders-plus/logan-wilson-comments-on-controversial-super-bowl-pass-interference-following-nfl-retirment-01km3qjx24q2,,
64,Stefon Diggs,Playing,2023,Stay down ignore the noise. Grind like you only got 1 shot.  ,Shares an encouraging message to draft prospects waiting to hear about NFL draft decisions,Twitter/X,Support,Positive,Unavailable,Low,Heavy Sports,https://heavy.com/sports/nfl/buffalo-bills/stefon-diggs-nfl-draft-tweet/,,
65,Damar Hamlin,Playing,2023,"The love is felt, & extremely real. No matter race or religion everybody coming together in prayer! 🙏❤️","After resting from medical-induced coma due to on-field cardiac arrest against the Cincinnati Bengals, Hamlin shared gratitude for those who wished him well. ",Twitter/X,Support,Positive,Active,Medium,CBS News,https://www.cbsnews.com/news/damar-hamlin-first-public-comments-cardiac-arrest-buffalo-bills/,,
66,Josh Allen,Playing,2023,I saw some stuff on Twitter and people should not be attacking him whatsoever. I'm glad that Damar's family came out and said that. ,"Comes to the defense of Tee Higgins, who received hate from tackle leading to Hamlin to being hospitalized",Post-practice news conference,Support,Positive,Available,Low,Cincinnati Enquirer,https://www.cincinnati.com/story/sports/nfl/bengals/2023/01/05/josh-allen-people-should-not-be-attacking-tee-higgins-whatsoever-as-damar-hamlin-recovers-cincinnati/69782959007/?gnt-cfr=1&gca-cat=p&gca-uir=true&gca-epti=z115240e1162xxv115240d--58--b--58--&gca-ft=200&gca-ds=sophi,,
67,Travis Kelce,Playing,2025,"Why are you guys leaning into this whole thing? You know what I mean? Like, why are you guys leaning into it? That's all I got though.",NFL fans accussed officials of favoritism towards the Chiefs to which media has asked Kelce about allegation. ,Super Bowl LIX Opening Night,Controversy,Negative,Available,Medium,Fox News,https://www.foxnews.com/sports/chiefs-travis-kelce-asks-reporters-why-you-guys-leaning-whole-ref-thing,,
68,Deshaun Watson,Playing,2022,I want to say that I'm truly sorry to all of the women that I have impacted in this situation,Apologizes to the women who publicly accused him of sexual misconduct during massage sessions,Interview on Browns' pregame show,Apology,Negative,Available,Medium,ESPN,https://www.espn.com/nfl/story/_/id/34390654/cleveland-browns-deshaun-watson-interview-apologizes-all-women-impacted-situation,,
69,Kadarius Toney,Free agent,2025,Goofies on the net hollerin I'm retiring,"While his free agency duration, fans wondered if Toney would retire from the NFL and start a rap career as Yung Joka. ",Instagram,Humor,Mixed,Unavailable,Medium,CBS Sports,https://nypost.com/2025/04/18/sports/kadarius-toney-responds-after-retirement-rumors-run-wild/,,
70,Mecole Hardman,Playing,2024,There were FALSE accusations made about me and MY CHARACTER! ,Response after former New York Jets teammates accussed that Hardman leaked game plans to two opponents,Twitter/X,Controversy,Negative,Unavailable,Medium,ESPN,https://www.espn.com/nfl/story/_/id/39633369/mecole-hardman-denies-leaking-jets-game-plans-chiefs-eagles,,
71,Dak Prescott,Playing,2020,"I think it's huge to talk, I think it's huge to get help and it saves lives. ","Opens about mental health struggles during the quarantine, advising the importance of taking care of one's mental health",In Depth With Granham Bensinger in-depth interview,Support,Positive,Available,Medium,The New York Times,https://www.nytimes.com/athletic/2058072/2020/09/10/it-saves-lives-dak-prescott-opens-up-on-mental-health-value-of-transparency/,,
72,George Kittle,Playing,2024,They had us in the first half not gonna lie,"When advancing to the Super Bowl, Kittle brought back a popular meme cited by a Texas high school football player back in a 2014 interview.",Postgame Interview,Humor,Positive,Available,Low,Larry Brown Sports,https://ninerswire.usatoday.com/story/sports/nfl/niners/2024/01/30/george-kittle-49ers-comeback-nfc-championship-had-us-in-the-first-half/79537007007/,,
73,Aaron Rodgers,Playing,2021,"To anyboady who felt misled by those comments, I take full responsibility for those comments. ","Looked back on comments made previously about characterization of being ""immunized,"" resulting in some misleadment",The Pat McAfee Show,Controversy,Negative,Available,Medium,"ESPN, the New York Times",https://www.nfl.com/news/aaron-rodgers-full-responsibility-misleading-comments-covid-19-vaccine,,
74,CeeDee Lamb,Playing,2025,"Just pay the man, what you owe em. No need for the extra curricular.",Publicly backed up teammate Micah Parsons with contract issues under the Dallas Cowboys,Twitter/X,Support,Positive,Unavailable,Medium,Yahoo Sports,https://sports.yahoo.com/article/ceedee-lamb-tells-jerry-jones-190837198.html,,
75,Justin Fields,Playing,2023,"...I'm never going to blame anything on the coaches. I'm never going to blame anything on my teammates. Whatever happens in the game, I will take all the blame.","After previous comments made regarding his coaches which resulted in further discussion, Fields clarified his stance with his coaches and team.",Media session ,Support,Mixed,Available,Medium,"NBC Sports, Fox News",https://www.nfl.com/news/bears-qb-justin-fields-clarifies-robotic-comments-i-m-not-blaming-anything-on-th,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
